"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";182.902;0.0307;0.4952;0.0142;0.1346;"Test";12
"AIRWLS";219.42;0.0306;0.4951;0.0186;0.6083;"Test";12
"Newton";99.12;0.0307;0.4951;0.0222;0.5856;"Test";12
"C-SGD";59.557;0.0314;0.4952;0.0135;0.5148;"Test";12
"B-SGD";33.911;0.033;0.4953;0.0128;0.4739;"Test";12
"glmPCA";606.535;0.0403;0.008;0.025;-0.0122;"Full";13
"NBWaVE";229.756;0.0332;0.0066;0.0142;0.5457;"Full";13
"CMF";477.992;0.0347;0.007;0.0147;0.2668;"Full";13
"NMF";565.18;0.0359;0.0072;0.0152;0.2078;"Full";13
"NNLM";179.024;0.0336;0.0068;0.0117;0.1166;"Full";13
"AIRWLS";218.552;0.0334;0.0067;0.0121;0.5791;"Full";13
"Newton";105.322;0.0334;0.0067;0.0127;0.5768;"Full";13
"C-SGD";59.895;0.0329;0.0066;0.0119;0.579;"Full";13
"B-SGD";33.495;0.0328;0.0066;0.0123;0.5287;"Full";13
"glmPCA";606.535;0.0403;0.1462;0.0248;-0.0122;"Train";13
"NBWaVE";229.756;0.0321;0.1449;0.0138;0.5457;"Train";13
"CMF";477.992;0.0345;0.1452;0.0106;0.2668;"Train";13
"NMF";565.18;0.0357;0.1456;0.0124;0.2078;"Train";13
"NNLM";179.024;0.0335;0.145;0.0105;0.1166;"Train";13
"AIRWLS";218.552;0.0332;0.145;0.0097;0.5791;"Train";13
"Newton";105.322;0.0332;0.145;0.0097;0.5768;"Train";13
"C-SGD";59.895;0.0321;0.1448;0.0111;0.579;"Train";13
"B-SGD";33.495;0.031;0.1447;0.0117;0.5287;"Train";13
"glmPCA";606.535;0.0403;0.495;0.0255;-0.0122;"Test";13
"NBWaVE";229.756;0.0363;0.4945;0.0151;0.5457;"Test";13
"CMF";477.992;0.0354;0.4946;0.0261;0.2668;"Test";13
"NMF";565.18;0.0364;0.4943;0.0232;0.2078;"Test";13
"NNLM";179.024;0.0342;0.4946;0.015;0.1166;"Test";13
"AIRWLS";218.552;0.0341;0.4945;0.0187;0.5791;"Test";13
"Newton";105.322;0.0342;0.4945;0.0211;0.5768;"Test";13
"C-SGD";59.895;0.0352;0.4946;0.0141;0.579;"Test";13
"B-SGD";33.495;0.0378;0.4947;0.0138;0.5287;"Test";13
"glmPCA";613.124;0.0383;0.0077;0.0202;-0.0177;"Full";14
"NBWaVE";232.554;0.0322;0.0065;0.0132;0.4851;"Full";14
"CMF";475.18;0.0339;0.0069;0.0143;0.1143;"Full";14
"NMF";561.546;0.035;0.007;0.0139;0.0314;"Full";14
"NNLM";194.835;0.0327;0.0066;0.011;0.0394;"Full";14
"AIRWLS";219.928;0.0325;0.0066;0.0113;0.4873;"Full";14
"Newton";102.43;0.0325;0.0066;0.0123;0.4698;"Full";14
"C-SGD";59.285;0.0319;0.0065;0.0114;0.4815;"Full";14
"B-SGD";34.314;0.0317;0.0064;0.0117;0.3876;"Full";14
"glmPCA";613.124;0.0383;0.1458;0.02;-0.0177;"Train";14
"NBWaVE";232.554;0.0311;0.1446;0.013;0.4851;"Train";14
"CMF";475.18;0.0337;0.1451;0.01;0.1143;"Train";14
"NMF";561.546;0.0348;0.1453;0.0114;0.0314;"Train";14
"NNLM";194.835;0.0325;0.1448;0.0099;0.0394;"Train";14
"AIRWLS";219.928;0.0322;0.1448;0.0092;0.4873;"Train";14
"Newton";102.43;0.0322;0.1448;0.0092;0.4698;"Train";14
"C-SGD";59.285;0.031;0.1446;0.0106;0.4815;"Train";14
"B-SGD";34.314;0.0299;0.1445;0.0111;0.3876;"Train";14
"glmPCA";613.124;0.0383;0.495;0.0209;-0.0177;"Test";14
"NBWaVE";232.554;0.0353;0.4946;0.0141;0.4851;"Test";14
"CMF";475.18;0.0346;0.4947;0.0266;0.1143;"Test";14
"NMF";561.546;0.0354;0.4945;0.0211;0.0314;"Test";14
"NNLM";194.835;0.0333;0.4946;0.0144;0.0394;"Test";14
"AIRWLS";219.928;0.0333;0.4945;0.0175;0.4873;"Test";14
"Newton";102.43;0.0333;0.4945;0.0212;0.4698;"Test";14
"C-SGD";59.285;0.0344;0.4946;0.0135;0.4815;"Test";14
"B-SGD";34.314;0.0368;0.4947;0.0132;0.3876;"Test";14
"glmPCA";612.312;0.0371;0.0075;0.0228;-0.0148;"Full";15
"NBWaVE";257.767;0.0312;0.0063;0.0151;0.4899;"Full";15
"CMF";470.803;0.0329;0.0067;0.0168;0.1326;"Full";15
"NMF";564.527;0.0336;0.0068;0.0157;0.0854;"Full";15
"NNLM";211.232;0.0318;0.0064;0.0127;0.1542;"Full";15
