"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";270.541;0.0446;0.4975;0.0195;0.019;"Test";9
"AIRWLS";165.486;0.0439;0.4974;0.0183;0.4782;"Test";9
"Newton";162.97;0.0438;0.4973;0.0184;0.4556;"Test";9
"C-SGD";65.759;0.0439;0.4974;0.0183;0.4532;"Test";9
"B-SGD";43.06;0.0435;0.4973;0.0183;0.4569;"Test";9
"glmPCA";129.542;0.0471;0.0139;0.0255;-0.0084;"Full";10
"NBWaVE";201.684;0.0428;0.0126;0.0182;0.4574;"Full";10
"CMF";339.49;0.0431;0.0128;Inf;-0.0029;"Full";10
"NMF";NA;NA;NA;NA;NA;"Full";10
"NNLM";192.969;0.0426;0.0126;Inf;0.0268;"Full";10
"AIRWLS";182.542;0.0418;0.0124;0.0165;0.4188;"Full";10
"Newton";125.647;0.0418;0.0124;0.0166;0.4227;"Full";10
"C-SGD";65.842;0.0417;0.0124;0.0169;0.4019;"Full";10
"B-SGD";42.926;0.0412;0.0123;0.017;0.4425;"Full";10
"glmPCA";129.542;0.047;0.1512;0.0254;-0.0084;"Train";10
"NBWaVE";201.684;0.0426;0.1501;0.0181;0.4574;"Train";10
"CMF";339.49;0.043;0.1502;0.0174;-0.0029;"Train";10
"NMF";NA;NA;NA;NA;NA;"Train";10
"NNLM";192.969;0.0426;0.1501;0.0171;0.0268;"Train";10
"AIRWLS";182.542;0.0417;0.1499;0.0161;0.4188;"Train";10
"Newton";125.647;0.0417;0.1499;0.0161;0.4227;"Train";10
"C-SGD";65.842;0.0416;0.1498;0.0167;0.4019;"Train";10
"B-SGD";42.926;0.041;0.1497;0.0168;0.4425;"Train";10
"glmPCA";129.542;0.0472;0.4981;0.0258;-0.0084;"Test";10
"NBWaVE";201.684;0.0432;0.4975;0.0186;0.4574;"Test";10
"CMF";339.49;0.0433;0.4976;Inf;-0.0029;"Test";10
"NMF";NA;NA;NA;NA;NA;"Test";10
"NNLM";192.969;0.0428;0.4975;Inf;0.0268;"Test";10
"AIRWLS";182.542;0.0421;0.4974;0.0177;0.4188;"Test";10
"Newton";125.647;0.042;0.4974;0.018;0.4227;"Test";10
"C-SGD";65.842;0.0422;0.4974;0.0175;0.4019;"Test";10
"B-SGD";42.926;0.0418;0.4974;0.0175;0.4425;"Test";10
"glmPCA";514.106;0.0497;0.014;0.0254;-0.0135;"Full";11
"NBWaVE";205.568;0.0453;0.0127;0.0185;0.4511;"Full";11
"CMF";336.509;0.0456;0.0129;0.0187;0.0282;"Full";11
"NMF";479.622;0.0467;0.0131;0.0198;0.0294;"Full";11
"NNLM";275.319;0.045;0.0127;0.0178;0.0203;"Full";11
"AIRWLS";187.468;0.0442;0.0125;0.0169;0.4534;"Full";11
"Newton";163.484;0.0442;0.0125;0.0169;0.4727;"Full";11
"C-SGD";66.091;0.044;0.0125;0.0172;0.466;"Full";11
"B-SGD";42.901;0.0434;0.0123;0.0172;0.429;"Full";11
"glmPCA";514.106;0.0496;0.1513;0.0253;-0.0135;"Train";11
"NBWaVE";205.568;0.0451;0.1502;0.0184;0.4511;"Train";11
"CMF";336.509;0.0456;0.1504;0.0179;0.0282;"Train";11
"NMF";479.622;0.0466;0.1506;0.0193;0.0294;"Train";11
"NNLM";275.319;0.0449;0.1502;0.0174;0.0203;"Train";11
"AIRWLS";187.468;0.0442;0.15;0.0164;0.4534;"Train";11
"Newton";163.484;0.0441;0.15;0.0164;0.4727;"Train";11
"C-SGD";66.091;0.0439;0.15;0.017;0.466;"Train";11
"B-SGD";42.901;0.0432;0.1498;0.017;0.429;"Train";11
"glmPCA";514.106;0.0497;0.498;0.0258;-0.0135;"Test";11
"NBWaVE";205.568;0.0457;0.4974;0.0189;0.4511;"Test";11
"CMF";336.509;0.0458;0.4975;0.021;0.0282;"Test";11
"NMF";479.622;0.0468;0.4975;0.021;0.0294;"Test";11
"NNLM";275.319;0.0451;0.4974;0.0188;0.0203;"Test";11
"AIRWLS";187.468;0.0444;0.4973;0.0182;0.4534;"Test";11
"Newton";163.484;0.0444;0.4973;0.0185;0.4727;"Test";11
"C-SGD";66.091;0.0444;0.4973;0.0178;0.466;"Test";11
"B-SGD";42.901;0.0439;0.4973;0.0177;0.429;"Test";11
"glmPCA";1153.645;0.0517;0.0134;0.0262;-0.0151;"Full";12
"NBWaVE";214.728;0.0469;0.0122;0.0202;0.4333;"Full";12
"CMF";354.23;0.0472;0.0123;Inf;0.0077;"Full";12
"NMF";478.525;0.0483;0.0125;0.0213;0.0136;"Full";12
"NNLM";275.6;0.0465;0.0121;0.0192;0.1128;"Full";12
"AIRWLS";167.408;0.0456;0.0119;0.0184;0.4533;"Full";12
"Newton";135.35;0.0456;0.0119;0.0185;0.4897;"Full";12
"C-SGD";66.027;0.0455;0.0119;0.0188;0.4335;"Full";12
"B-SGD";42.521;0.0449;0.0117;0.0189;0.4187;"Full";12
"glmPCA";1153.645;0.0516;0.1509;0.0261;-0.0151;"Train";12
"NBWaVE";214.728;0.0467;0.1499;0.0201;0.4333;"Train";12
