"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"CMF";271.331;0.034;0.1457;0.0107;0.1875;"Train";12
"NMF";369.717;0.035;0.1459;0.0119;0.0578;"Train";12
"NNLM";137.408;0.0325;0.1454;0.0103;0.0838;"Train";12
"AIRWLS";168.71;0.0322;0.1454;0.0096;0.5701;"Train";12
"Newton";92.231;0.0322;0.1454;0.0096;0.5968;"Train";12
"C-SGD";51.493;0.0315;0.1452;0.0109;0.4975;"Train";12
"B-SGD";26.423;0.0309;0.1452;0.011;0.4206;"Train";12
"glmPCA";505.58;0.0382;0.4947;0.0217;-0.0243;"Test";12
"NBWaVE";153.224;0.0346;0.4942;0.0141;0.5326;"Test";12
"CMF";271.331;0.0345;0.4943;0.0234;0.1875;"Test";12
"NMF";369.717;0.0354;0.4942;0.021;0.0578;"Test";12
"NNLM";137.408;0.033;0.4942;0.0138;0.0838;"Test";12
"AIRWLS";168.71;0.0327;0.4941;0.0157;0.5701;"Test";12
"Newton";92.231;0.0328;0.4941;0.017;0.5968;"Test";12
"C-SGD";51.493;0.0333;0.4942;0.0131;0.4975;"Test";12
"B-SGD";26.423;0.0345;0.4942;0.0129;0.4206;"Test";12
"glmPCA";507.674;0.0382;0.0068;0.024;-0.034;"Full";13
"NBWaVE";166.878;0.032;0.0057;0.0151;0.5939;"Full";13
"CMF";267.279;0.0334;0.006;0.0161;0.1383;"Full";13
"NMF";NA;NA;NA;NA;NA;"Full";13
"NNLM";138.159;0.0319;0.0057;0.0129;0.0905;"Full";13
"AIRWLS";168.467;0.0316;0.0057;0.0129;0.6094;"Full";13
"Newton";94.174;0.0316;0.0057;0.0134;0.576;"Full";13
"C-SGD";50.669;0.0312;0.0056;0.0131;0.5992;"Full";13
"B-SGD";26.895;0.0311;0.0056;0.0133;0.4945;"Full";13
"glmPCA";507.674;0.0382;0.1451;0.0238;-0.034;"Train";13
"NBWaVE";166.878;0.0313;0.1441;0.0148;0.5939;"Train";13
"CMF";267.279;0.0332;0.1444;0.0127;0.1383;"Train";13
"NMF";NA;NA;NA;NA;NA;"Train";13
