"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"CMF";267.056;0.0336;0.1455;0.0114;0.1907;"Train";13
"NMF";NA;NA;NA;NA;NA;"Train";13
"NNLM";145.233;0.0325;0.1452;0.0111;0.1533;"Train";13
"AIRWLS";170.559;0.0322;0.1452;0.0104;0.4303;"Train";13
"Newton";94.183;0.0321;0.1452;0.0104;0.4469;"Train";13
"C-SGD";50.867;0.0315;0.1451;0.0114;0.4928;"Train";13
"B-SGD";26.944;0.0307;0.145;0.0118;0.4027;"Train";13
"glmPCA";998.559;0.0383;0.4943;0.0252;-0.0366;"Test";13
"NBWaVE";196.562;0.0346;0.4939;0.0155;0.4278;"Test";13
"CMF";267.056;0.0342;0.4939;0.0256;0.1907;"Test";13
"NMF";NA;NA;NA;NA;NA;"Test";13
"NNLM";145.233;0.033;0.4939;0.0153;0.1533;"Test";13
"AIRWLS";170.559;0.0328;0.4939;0.018;0.4303;"Test";13
"Newton";94.183;0.033;0.4938;0.0193;0.4469;"Test";13
"C-SGD";50.867;0.0331;0.4939;0.0141;0.4928;"Test";13
"B-SGD";26.944;0.0346;0.4939;0.0138;0.4027;"Test";13
"glmPCA";52.336;0.0378;0.0082;0.0202;-0.0185;"Full";14
"NBWaVE";167.876;0.032;0.0069;0.0124;0.5482;"Full";14
"CMF";269.448;0.0338;0.0073;0.0143;0.049;"Full";14
"NMF";NA;NA;NA;NA;NA;"Full";14
"NNLM";152.708;0.0321;0.007;0.0105;0.0531;"Full";14
"AIRWLS";169.353;0.0317;0.0069;0.0104;0.5976;"Full";14
"Newton";88.238;0.0317;0.0069;0.0109;0.5759;"Full";14
"C-SGD";51.47;0.0313;0.0068;0.0107;0.5682;"Full";14
"B-SGD";27.217;0.0311;0.0068;0.011;0.4909;"Full";14
"glmPCA";52.336;0.0379;0.1466;0.02;-0.0185;"Train";14
"NBWaVE";167.876;0.0314;0.1455;0.0122;0.5482;"Train";14
"CMF";269.448;0.0337;0.1459;0.01;0.049;"Train";14
"NMF";NA;NA;NA;NA;NA;"Train";14
"NNLM";152.708;0.032;0.1455;0.0095;0.0531;"Train";14
"AIRWLS";169.353;0.0316;0.1455;0.0087;0.5976;"Train";14
"Newton";88.238;0.0316;0.1455;0.0087;0.5759;"Train";14
"C-SGD";51.47;0.0308;0.1454;0.0101;0.5682;"Train";14
"B-SGD";27.217;0.0302;0.1453;0.0106;0.4909;"Train";14
"glmPCA";52.336;0.0376;0.4945;0.021;-0.0185;"Test";14
"NBWaVE";167.876;0.0336;0.494;0.0133;0.5482;"Test";14
"CMF";269.448;0.034;0.4942;0.0265;0.049;"Test";14
"NMF";NA;NA;NA;NA;NA;"Test";14
"NNLM";152.708;0.0322;0.494;0.0135;0.0531;"Test";14
"AIRWLS";169.353;0.0319;0.4939;0.0152;0.5976;"Test";14
"Newton";88.238;0.0319;0.4939;0.017;0.5759;"Test";14
"C-SGD";51.47;0.0325;0.494;0.0124;0.5682;"Test";14
